created_at,user_id,username,tweet,place,near,clean_tweet,tokens,lemma,lemma_sentence,pos_tag,lemma_sentence(with POS),sentiword_analysis,vader_score,textblob_polarity,senti_textblob,senti_wordnet,senti_vader
2021-01-06,1063705581133934593,5herii,"My kids can never say they don’t wanna do their homework. I’ve got ✨covid 19 ✨ and I’m still banging out my 2,000 word essay, you have no excuse x",,London,kids not wana homework sparkles covid sparkles banging word essay no excuse,"['kids', 'not', 'wana', 'homework', 'sparkles', 'covid', 'sparkles', 'banging', 'word', 'essay', 'no', 'excuse']","['kid', 'not', 'wana', 'homework', 'sparkle', 'covid', 'sparkle', 'banging', 'word', 'essay', 'no', 'excuse']",kid not wana homework sparkle covid sparkle banging word essay no excuse,"[('kids', 'n'), ('not', 'r'), ('wana', 'a'), ('homework', 'n'), ('sparkles', 'n'), ('covid', 'v'), ('sparkles', 'n'), ('banging', 'v'), ('word', 'n'), ('essay', 'v'), ('no', None), ('excuse', 'n')]",  kid not wana homework sparkle covid sparkle bang word essay no excuse,-0.125,0.0634,0.025,1,-1,1
2021-01-06,39230775,djalijournalist,"We are not messing about with COVID-19. Wear your mask all the time. @ London, United Kingdom  https://t.co/jOLjh2Avxx","{'type': 'Point', 'coordinates': [51.5141, -0.10940000000000001]}",London,not messing covid wear mask time london united kingdom,"['not', 'messing', 'covid', 'wear', 'mask', 'time', 'london', 'united', 'kingdom']","['not', 'messing', 'covid', 'wear', 'mask', 'time', 'london', 'united', 'kingdom']",not messing covid wear mask time london united kingdom,"[('not', 'r'), ('messing', 'v'), ('covid', 'n'), ('wear', None), ('mask', 'a'), ('time', 'n'), ('london', 'n'), ('united', 'a'), ('kingdom', 'n')]",  not mess covid wear mask time london united kingdom,-0.625,0.6007,0.0875,1,-1,1
2021-01-06,63469953,aopapilot,@rsmck @underwatergeek @Pilotworldshop @SouthernFairy16 @UK_CAA @Visicover @AdamWagner1 The problem I think with some airfields is the cost of remaining open verses the potential income. Add to that the benefit of furloughed staff. These are difficult times for everyone and we need to get the balance right. Inc COVId safe activities,,London,problem airfields cost remaining open verses potential income add benefit furloughed staff difficult times balance covid safe activities,"['problem', 'airfields', 'cost', 'remaining', 'open', 'verses', 'potential', 'income', 'add', 'benefit', 'furloughed', 'staff', 'difficult', 'times', 'balance', 'covid', 'safe', 'activities']","['problem', 'airfield', 'cost', 'remaining', 'open', 'verse', 'potential', 'income', 'add', 'benefit', 'furloughed', 'staff', 'difficult', 'time', 'balance', 'covid', 'safe', 'activity']",problem airfield cost remaining open verse potential income add benefit furloughed staff difficult time balance covid safe activity,"[('problem', 'n'), ('airfields', 'n'), ('cost', 'n'), ('remaining', 'v'), ('open', 'a'), ('verses', 'n'), ('potential', 'a'), ('income', 'n'), ('add', 'v'), ('benefit', 'v'), ('furloughed', 'a'), ('staff', 'n'), ('difficult', 'a'), ('times', 'n'), ('balance', 'v'), ('covid', 'a'), ('safe', 'a'), ('activities', 'n')]",  problem airfield cost remain open verse potential income add benefit furloughed staff difficult time balance covid safe activity,-1.5,0.1779,0.0,0,-1,1
2021-01-06,25303558,gilesyb,"I remain astonished by the stock market, not so much in the face of the US riots as the incredibly potent new covid variants.  After so long watching them I really shouldn't be. I know how it works. But still",,London,remain astonished stock market not face riots incredibly potent covid variants long watching not works,"['remain', 'astonished', 'stock', 'market', 'not', 'face', 'riots', 'incredibly', 'potent', 'covid', 'variants', 'long', 'watching', 'not', 'works']","['remain', 'astonished', 'stock', 'market', 'not', 'face', 'riot', 'incredibly', 'potent', 'covid', 'variant', 'long', 'watching', 'not', 'work']",remain astonished stock market not face riot incredibly potent covid variant long watching not work,"[('remain', 'n'), ('astonished', 'a'), ('stock', 'n'), ('market', 'n'), ('not', 'r'), ('face', 'a'), ('riots', 'n'), ('incredibly', 'r'), ('potent', 'a'), ('covid', 'a'), ('variants', 'n'), ('long', 'r'), ('watching', 'v'), ('not', 'r'), ('works', 'v')]",  remain astonished stock market not face riot incredibly potent covid variant long watch not work,-1.125,0.673,0.225,1,-1,1
2021-01-06,262799412,chutte1,Dear lord Jesus Christ . I thank you for your grace and also that you always listen to my prayers . Therefore lays your hands on lillians and Doris in spirit to heal them from covid. Most of all may your will be done. Amen,,London,dear lord jesus christ grace listen prayers lays hands lilians doris spirit heal covid amen,"['dear', 'lord', 'jesus', 'christ', 'grace', 'listen', 'prayers', 'lays', 'hands', 'lilians', 'doris', 'spirit', 'heal', 'covid', 'amen']","['dear', 'lord', 'jesus', 'christ', 'grace', 'listen', 'prayer', 'lay', 'hand', 'lilians', 'doris', 'spirit', 'heal', 'covid', 'amen']",dear lord jesus christ grace listen prayer lay hand lilians doris spirit heal covid amen,"[('dear', 'a'), ('lord', 'n'), ('jesus', 'n'), ('christ', 'n'), ('grace', 'n'), ('listen', 'a'), ('prayers', 'n'), ('lays', 'v'), ('hands', 'n'), ('lilians', 'n'), ('doris', 'v'), ('spirit', 'a'), ('heal', 'n'), ('covid', 'n'), ('amen', 'n')]",  dear lord jesus christ grace listen prayer lay hand lilians doris spirit heal covid amen,1.0,0.8519,0.0,0,1,1
2021-01-06,79737242,denismacshane,"Did you see dear PM CNN headlining “Lies” by Trump. Perish thought BBC might do same about untruthful statements on Brexit, Covid",,London,dear headlining lies trump perish thought untruthful statements brexit covid,"['dear', 'headlining', 'lies', 'trump', 'perish', 'thought', 'untruthful', 'statements', 'brexit', 'covid']","['dear', 'headlining', 'lie', 'trump', 'perish', 'thought', 'untruthful', 'statement', 'brexit', 'covid']",dear headlining lie trump perish thought untruthful statement brexit covid,"[('dear', 'a'), ('headlining', 'v'), ('lies', 'n'), ('trump', 'v'), ('perish', 'a'), ('thought', 'v'), ('untruthful', 'a'), ('statements', 'n'), ('brexit', 'n'), ('covid', 'n')]",  dear headline lie trump perish think untruthful statement brexit covid,0.0,0.3818,0.0,0,0,1
2021-01-06,231763336,mazza6069,"Covid has again exposed the fragility  of our precious, decadent West   https://t.co/klvgEat8bR",,London,covid exposed fragility precious decadent west,"['covid', 'exposed', 'fragility', 'precious', 'decadent', 'west']","['covid', 'exposed', 'fragility', 'precious', 'decadent', 'west']",covid exposed fragility precious decadent west,"[('covid', 'n'), ('exposed', 'v'), ('fragility', 'n'), ('precious', 'a'), ('decadent', 'n'), ('west', 'n')]",  covid expose fragility precious decadent west,-0.125,0.4767,0.5,1,-1,1
2021-01-06,45131936,munchmma,Covid-19 is tearing up and down the UK like wild fire. My friend caught it xmas eve....the Government web site sends out tests within a day and results within 48hrs. I get my results tomorrow. There are lots of drive threws as well that are conducting tests.  #COVIDSecondWave  https://t.co/aI4kvRlCus,,London,covid tearing wild fire friend caught xmas eve government web site sends tests day results hrs results tomorrow lots drive threws conducting tests covidsecondwave,"['covid', 'tearing', 'wild', 'fire', 'friend', 'caught', 'xmas', 'eve', 'government', 'web', 'site', 'sends', 'tests', 'day', 'results', 'hrs', 'results', 'tomorrow', 'lots', 'drive', 'threws', 'conducting', 'tests', 'covidsecondwave']","['covid', 'tearing', 'wild', 'fire', 'friend', 'caught', 'xmas', 'eve', 'government', 'web', 'site', 'sends', 'test', 'day', 'result', 'hr', 'result', 'tomorrow', 'lot', 'drive', 'threws', 'conducting', 'test', 'covidsecondwave']",covid tearing wild fire friend caught xmas eve government web site sends test day result hr result tomorrow lot drive threws conducting test covidsecondwave,"[('covid', 'n'), ('tearing', 'v'), ('wild', 'a'), ('fire', 'n'), ('friend', 'n'), ('caught', 'v'), ('xmas', 'n'), ('eve', 'a'), ('government', 'n'), ('web', 'v'), ('site', 'n'), ('sends', 'n'), ('tests', 'n'), ('day', 'n'), ('results', 'n'), ('hrs', 'a'), ('results', 'n'), ('tomorrow', 'n'), ('lots', 'n'), ('drive', 'v'), ('threws', 'n'), ('conducting', 'v'), ('tests', 'n'), ('covidsecondwave', 'v')]",  covid tear wild fire friend catch xmas eve government web site sends test day result hrs result tomorrow lot drive threws conduct test covidsecondwave,0.375,0.2023,0.1,1,1,1
2021-01-06,19486557,nicolobattisti,"Thankful to have received the first dose of the #COVID19 vaccine at @royalmarsdenNHS. A key step to protect our patients, loved ones and the most vulnerable members of the population. We are on the right track for recovery even in this darkest hour #WearAMask #protecttheNHS  https://t.co/aPabYPbwPk",,London,thankful received dose covid vaccine key step protect patients loved vulnerable members population track recovery darkest hour wearamask protecthenhs,"['thankful', 'received', 'dose', 'covid', 'vaccine', 'key', 'step', 'protect', 'patients', 'loved', 'vulnerable', 'members', 'population', 'track', 'recovery', 'darkest', 'hour', 'wearamask', 'protecthenhs']","['thankful', 'received', 'dose', 'covid', 'vaccine', 'key', 'step', 'protect', 'patient', 'loved', 'vulnerable', 'member', 'population', 'track', 'recovery', 'darkest', 'hour', 'wearamask', 'protecthenhs']",thankful received dose covid vaccine key step protect patient loved vulnerable member population track recovery darkest hour wearamask protecthenhs,"[('thankful', 'a'), ('received', 'v'), ('dose', 'a'), ('covid', 'a'), ('vaccine', 'n'), ('key', 'a'), ('step', 'n'), ('protect', 'a'), ('patients', 'n'), ('loved', 'v'), ('vulnerable', 'a'), ('members', 'n'), ('population', 'v'), ('track', 'a'), ('recovery', 'n'), ('darkest', 'a'), ('hour', 'n'), ('wearamask', 'n'), ('protecthenhs', 'n')]",  thankful receive dose covid vaccine key step protect patient love vulnerable member population track recovery dark hour wearamask protecthenhs,1.0,0.8625,-0.0375,-1,1,1
2021-01-06,993848220,mrboltonptpage,@GemCals And all the time .. Covid is waiting in the wings to increase the spike   You watch the infections go up even more now,,London,time covid waiting wings increase spike watch infections,"['time', 'covid', 'waiting', 'wings', 'increase', 'spike', 'watch', 'infections']","['time', 'covid', 'waiting', 'wing', 'increase', 'spike', 'watch', 'infection']",time covid waiting wing increase spike watch infection,"[('time', 'n'), ('covid', 'n'), ('waiting', 'v'), ('wings', 'n'), ('increase', 'n'), ('spike', 'n'), ('watch', 'n'), ('infections', 'n')]",  time covid wait wing increase spike watch infection,0.0,0.3182,0.0,0,0,1
